[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Analysis started at: 2023-07-07 08:59:28 AM
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Version constraints: ['^0.4.19']
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | solc version: v0.4.19
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Callgraph generation started!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Callgraph generation finished!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Interprocedural CFG generation started!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Storage dependency graph generation started!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Storage dependency graph generation finished!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Value Range Analysis started
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Generating return summary for SetMinSum
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Return summary generated for SetMinSum
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Range graph generated
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Processed function SetMinSum
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Generating return summary for SetLogFile
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Return summary generated for SetLogFile
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Range graph generated
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Processed function SetLogFile
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Generating return summary for Initialized
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Return summary generated for Initialized
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Range graph generated
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Processed function Initialized
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Generating return summary for AddMessage
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Return summary generated for AddMessage
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Range graph generated
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Processed function AddMessage
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Generating return summary for Put
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Return summary generated for Put
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Range graph generated
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Processed function Put
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Generating return summary for Collect
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Return summary generated for Collect
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Range graph generated
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Processed function Collect
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Generating return summary for fallback
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Return summary generated for fallback
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Range graph generated
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Processed function fallback
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Value Range Analysis took 0.002503 seconds
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Value Range Analysis finished
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Storage dependency graph compostion started!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Dependency detection started!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | DAO dependency detected in file 0x85179ac15aa94e3ca32dd1cc04664e9bb0062115.sol in contract COIN_BOX in by composing functions Collect and SetLogFile
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Dependency detection finished!
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Static Analysis took 0.471147 seconds
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Dependency exists
[INFO] | 2023-07-07 08:59:28 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Invoking symbolic executor!
[INFO] | 2023-07-07 08:59:29 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Symbolic execution took 0.767119 seconds
[INFO] | 2023-07-07 08:59:29 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Symbolic execution finished!
[INFO] | 2023-07-07 08:59:29 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Analysis finished!
[INFO] | 2023-07-07 08:59:29 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Analysis took 1.238700 seconds
[INFO] | 2023-07-07 08:59:29 AM | analyzer.0x85179ac15aa94e3ca32dd1cc04664e9bb0062115 | Analysis finished at: 2023-07-07 08:59:29 AM
