[INFO] | 2023-07-06 05:49:59 AM | analyzer.BMath_1 | Analysis started at: 2023-07-06 05:49:59 AM
[INFO] | 2023-07-06 05:50:00 AM | analyzer.BMath_1 | Version constraints: ['0.5.12']
[INFO] | 2023-07-06 05:50:00 AM | analyzer.BMath_1 | solc version: v0.5.12
[INFO] | 2023-07-06 05:50:03 AM | analyzer.BMath_1 | Callgraph generation started!
[INFO] | 2023-07-06 05:50:03 AM | analyzer.BMath_1 | Callgraph generation finished!
[INFO] | 2023-07-06 05:50:03 AM | analyzer.BMath_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Storage dependency graph generation started!
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Value Range Analysis started
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Range graph generated
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Range graph generated
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Range graph generated
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Processed function getColor
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:04 AM | analyzer.BMath_1 | Return summary generated for getColor
