[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Analysis started at: 2023-07-10 07:32:56 AM
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Version constraints: ['^0.4.19']
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | solc version: v0.4.19
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Callgraph generation started!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Callgraph generation finished!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Interprocedural CFG generation started!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Interprocedural CFG generation finished!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Storage dependency graph generation started!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Storage dependency graph generation finished!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Value Range Analysis started
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Generating return summary for getBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Return summary generated for getBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | State variable assignement do not exist
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Processed function getBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Generating return summary for addToBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Return summary generated for addToBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Range graph generated
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Processed function addToBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Generating return summary for withdrawBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Return summary generated for withdrawBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Range graph generated
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Processed function withdrawBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Value Range Analysis took 0.000827 seconds
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Value Range Analysis finished
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Storage dependency graph compostion started!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Storage dependency graph compostion finished!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Dependency detection started!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | DAO dependency detected in file etherbank.sol in contract EtherBank in by composing functions withdrawBalance and withdrawBalance
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Dependency detection finished!
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Static Analysis took 0.260549 seconds
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Dependency exists
[INFO] | 2023-07-10 07:32:56 AM | analyzer.etherbank | Invoking symbolic executor!
[INFO] | 2023-07-10 07:32:57 AM | analyzer.etherbank | Symbolic execution took 0.632045 seconds
[INFO] | 2023-07-10 07:32:57 AM | analyzer.etherbank | Symbolic execution finished!
[INFO] | 2023-07-10 07:32:57 AM | analyzer.etherbank | Analysis finished!
[INFO] | 2023-07-10 07:32:57 AM | analyzer.etherbank | Analysis took 0.892984 seconds
[INFO] | 2023-07-10 07:32:57 AM | analyzer.etherbank | Analysis finished at: 2023-07-10 07:32:57 AM
