[INFO] | 2023-07-06 05:56:37 AM | analyzer.Escrow_v1_0_2 | Analysis started at: 2023-07-06 05:56:37 AM
[INFO] | 2023-07-06 05:56:39 AM | analyzer.Escrow_v1_0_2 | Version constraints: ['0.4.24']
[INFO] | 2023-07-06 05:56:39 AM | analyzer.Escrow_v1_0_2 | solc version: v0.4.24
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Callgraph generation started!
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Callgraph generation finished!
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Storage dependency graph generation started!
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Value Range Analysis started
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for mul
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for mul
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function mul
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for div
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for div
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function div
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for sub
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for sub
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function sub
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for add
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for add
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function add
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for balanceOf
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for balanceOf
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function balanceOf
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for transfer
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for transfer
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function transfer
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for transferFrom
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for transferFrom
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function transferFrom
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for checkBeneficiary
[WARNING] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for checkBeneficiary
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function checkBeneficiary
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for checkVote
[WARNING] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | No lvalue eligible assignment, is this some bug!
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for checkVote
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function checkVote
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for getAllTransactionsForParty
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for getAllTransactionsForParty
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function getAllTransactionsForParty
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for calculateRedeemScriptHash
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for calculateRedeemScriptHash
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function calculateRedeemScriptHash
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for verifySignatures
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for verifySignatures
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Range graph generated
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function verifySignatures
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Range graph generated
[INFO] | 2023-07-06 05:56:40 AM | analyzer.Escrow_v1_0_2 | Processed function slitherConstructorVariables
