[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Analysis started at: 2023-07-10 07:33:04 AM
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Version constraints: ['^0.4.25']
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | solc version: v0.4.25
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Callgraph generation started!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Callgraph generation finished!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Interprocedural CFG generation started!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Interprocedural CFG generation finished!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Storage dependency graph generation started!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Storage dependency graph generation finished!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Value Range Analysis started
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Generating return summary for withdrawReward
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Return summary generated for withdrawReward
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Range graph generated
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Processed function withdrawReward
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Generating return summary for getFirstWithdrawalBonus
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Return summary generated for getFirstWithdrawalBonus
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Range graph generated
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Processed function getFirstWithdrawalBonus
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Value Range Analysis took 0.001075 seconds
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Value Range Analysis finished
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Storage dependency graph compostion started!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Storage dependency graph compostion finished!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Dependency detection started!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | DAO dependency detected in file reentrancy_bonus.sol in contract Reentrancy_bonus in by composing functions getFirstWithdrawalBonus and getFirstWithdrawalBonus
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Dependency detection finished!
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Static Analysis took 0.303538 seconds
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Dependency exists
[INFO] | 2023-07-10 07:33:04 AM | analyzer.reentrancy_bonus | Invoking symbolic executor!
[INFO] | 2023-07-10 07:33:05 AM | analyzer.reentrancy_bonus | Symbolic execution took 0.733364 seconds
[INFO] | 2023-07-10 07:33:05 AM | analyzer.reentrancy_bonus | Symbolic execution finished!
[INFO] | 2023-07-10 07:33:05 AM | analyzer.reentrancy_bonus | Analysis finished!
[INFO] | 2023-07-10 07:33:05 AM | analyzer.reentrancy_bonus | Analysis took 1.037336 seconds
[INFO] | 2023-07-10 07:33:05 AM | analyzer.reentrancy_bonus | Analysis finished at: 2023-07-10 07:33:05 AM
