[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Analysis started at: 2023-07-07 08:59:36 AM
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Version constraints: ['^0.4.19']
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | solc version: v0.4.19
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Callgraph generation started!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Callgraph generation finished!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Interprocedural CFG generation started!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Storage dependency graph generation started!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Storage dependency graph generation finished!
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Value Range Analysis started
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Generating return summary for Private_Bank
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Return summary generated for Private_Bank
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Range graph generated
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Processed function Private_Bank
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Generating return summary for fallback
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Return summary generated for fallback
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Processed function fallback
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:36 AM | analyzer.0x95d34980095380851902ccd9a1fb4c813c2cb639 | Range graph generated
