[INFO] | 2023-07-06 05:48:04 AM | analyzer.AdminImpl_1 | Analysis started at: 2023-07-06 05:48:04 AM
[INFO] | 2023-07-06 05:48:07 AM | analyzer.AdminImpl_1 | Version constraints: ['0.5.4']
[INFO] | 2023-07-06 05:48:07 AM | analyzer.AdminImpl_1 | solc version: v0.5.4
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Callgraph generation started!
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Callgraph generation finished!
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Storage dependency graph generation started!
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Value Range Analysis started
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Range graph generated
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Range graph generated
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Range graph generated
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Range graph generated
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Range graph generated
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:48:10 AM | analyzer.AdminImpl_1 | Return summary generated for slitherConstructorConstantVariables
