[INFO] | 2023-07-06 05:50:05 AM | analyzer.BMath_2 | Analysis started at: 2023-07-06 05:50:05 AM
[INFO] | 2023-07-06 05:50:06 AM | analyzer.BMath_2 | Version constraints: ['0.5.12']
[INFO] | 2023-07-06 05:50:06 AM | analyzer.BMath_2 | solc version: v0.5.12
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Callgraph generation started!
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Callgraph generation finished!
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Storage dependency graph generation started!
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Value Range Analysis started
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Range graph generated
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Range graph generated
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Range graph generated
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Processed function getColor
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Processed function getColor
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Generating return summary for getColor
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Return summary generated for getColor
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | State variable assignement do not exist
[INFO] | 2023-07-06 05:50:09 AM | analyzer.BMath_2 | Processed function getColor
