[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Analysis started at: 2023-07-07 09:00:00 AM
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Version constraints: ['^0.4.19']
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | solc version: v0.4.19
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Callgraph generation started!
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Callgraph generation finished!
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Interprocedural CFG generation started!
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Storage dependency graph generation started!
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Storage dependency graph generation finished!
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Value Range Analysis started
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Generating return summary for PrivateBank
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Return summary generated for PrivateBank
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Range graph generated
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Processed function PrivateBank
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Generating return summary for fallback
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Return summary generated for fallback
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Processed function fallback
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Range graph generated
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Generating return summary for AddMessage
[INFO] | 2023-07-07 09:00:00 AM | analyzer.0xb4c05e6e4cdb07c15095300d96a5735046eef999 | Return summary generated for AddMessage
