[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Analysis started at: 2023-07-10 07:33:10 AM
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Version constraints: ['^0.4.25']
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | solc version: v0.4.25
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Callgraph generation started!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Callgraph generation finished!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Interprocedural CFG generation started!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Interprocedural CFG generation finished!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Storage dependency graph generation started!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Storage dependency graph generation finished!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Value Range Analysis started
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Generating return summary for withdrawBalance
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Return summary generated for withdrawBalance
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Range graph generated
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Processed function withdrawBalance
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Value Range Analysis took 0.000471 seconds
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Value Range Analysis finished
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Storage dependency graph compostion started!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Storage dependency graph compostion finished!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Dependency detection started!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | DAO dependency detected in file reentrancy_insecure.sol in contract Reentrancy_insecure in by composing functions withdrawBalance and withdrawBalance
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Dependency detection finished!
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Static Analysis took 0.243757 seconds
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Dependency exists
[INFO] | 2023-07-10 07:33:10 AM | analyzer.reentrancy_insecure | Invoking symbolic executor!
[INFO] | 2023-07-10 07:33:11 AM | analyzer.reentrancy_insecure | Symbolic execution took 0.632780 seconds
[INFO] | 2023-07-10 07:33:11 AM | analyzer.reentrancy_insecure | Symbolic execution finished!
[INFO] | 2023-07-10 07:33:11 AM | analyzer.reentrancy_insecure | Analysis finished!
[INFO] | 2023-07-10 07:33:11 AM | analyzer.reentrancy_insecure | Analysis took 0.876959 seconds
[INFO] | 2023-07-10 07:33:11 AM | analyzer.reentrancy_insecure | Analysis finished at: 2023-07-10 07:33:11 AM
