[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Analysis started at: 2023-07-10 07:32:58 AM
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Version constraints: ['^0.4.19']
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | solc version: v0.4.19
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Callgraph generation started!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Callgraph generation finished!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Interprocedural CFG generation started!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Interprocedural CFG generation finished!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Storage dependency graph generation started!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Storage dependency graph generation finished!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Value Range Analysis started
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Generating return summary for depositFunds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Return summary generated for depositFunds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Range graph generated
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Processed function depositFunds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Generating return summary for withdrawFunds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Return summary generated for withdrawFunds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Range graph generated
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Processed function withdrawFunds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Range graph generated
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Processed function slitherConstructorVariables
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Value Range Analysis took 0.001212 seconds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Value Range Analysis finished
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Storage dependency graph compostion started!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Storage dependency graph compostion finished!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Dependency detection started!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | DAO dependency detected in file etherstore.sol in contract EtherStore in by composing functions withdrawFunds and withdrawFunds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Dependency detection finished!
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Static Analysis took 0.422224 seconds
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Dependency exists
[INFO] | 2023-07-10 07:32:58 AM | analyzer.etherstore | Invoking symbolic executor!
[INFO] | 2023-07-10 07:32:59 AM | analyzer.etherstore | Symbolic execution took 0.732531 seconds
[INFO] | 2023-07-10 07:32:59 AM | analyzer.etherstore | Symbolic execution finished!
[INFO] | 2023-07-10 07:32:59 AM | analyzer.etherstore | Analysis finished!
[INFO] | 2023-07-10 07:32:59 AM | analyzer.etherstore | Analysis took 1.155167 seconds
[INFO] | 2023-07-10 07:32:59 AM | analyzer.etherstore | Analysis finished at: 2023-07-10 07:32:59 AM
