File_name,Total_Contract,Total_Function,Total_Variable,Total_Internal_Call,Max_Cyclomatic_Complexity,Loc,sLoc,cLoc
./input/DB2/sailfish_reported/0x69c127731fcaeb5c2f9c0841f64714ad15799298.sol,4,15,18,7,2,235,87,7
./input/DB2/sailfish_reported/0xcbc6a023eb975a1e2630223a7959988948e664f3.sol,22,180,114,134,3,2929,684,987
./input/DB2/sailfish_reported/0xce0f6166b8fe37f1e70c5d0eb370169f0576d707.sol,14,206,306,230,8,3199,1120,201
./input/DB2/sailfish_reported/0x1efa978c8560ab6a50b33810328a71f4d24967ce.sol,6,77,58,64,3,398,312,32
./input/DB2/sailfish_reported/0xb825e25856bd98b3f2faf2aeb6cb8742b38c4025.sol,3,42,19,36,10,232,162,46
./input/DB2/sailfish_reported/0x6ecd85f58b50d8a135376a86943b171c50d2ba7a.sol,6,49,78,53,8,572,340,172
./input/DB2/sailfish_reported/0x6a91178174995d6f43e3d29d57dc7d82b4c7ef15.sol,64,311,485,448,6,2346,1887,139
./input/DB2/sailfish_reported/0x2aaf69a2df2828b55fa4a5e30ee8c3c7cd9e5d5b.sol,7,57,15,17,3,603,186,130
./input/DB2/sailfish_reported/0xe9ef26c4e9761e2305f455a0e0d4cd286e2d13a1.sol,12,113,128,89,4,597,360,107
./input/DB2/sailfish_reported/0x6368a4ba80fc780a9a0fea547239c4635b97fd70.sol,9,47,59,42,7,426,271,132
./input/DB2/sailfish_reported/0x3136ef851592acf49ca4c825131e364170fa32b3.sol,10,74,58,35,3,488,220,187
./input/DB2/sailfish_reported/0xb2d11333520afe08698e74774d73ad680b8d8d35.sol,14,133,145,93,6,1369,840,252
./input/DB2/sailfish_reported/0x1784ef41af86e97f8d28afe95b573a24aeda966e.sol,18,277,129,206,3,1748,859,656
./input/DB2/sailfish_reported/0xe0359d1c820d0041774772a1683429693b3a94e8.sol,5,65,41,84,3,336,272,4
./input/DB2/sailfish_reported/0xab29470ee3eb017ed2e60cec6a28133124f3e5e2.sol,6,61,85,34,2,691,276,338
./input/DB2/sailfish_reported/0xdf347911910b6c9a4286ba8e2ee5ea4a39eb2134.sol,23,290,226,256,3,1885,419,685
./input/DB2/sailfish_reported/0x88af2c90fa9cf19cf08c8229fd8d9d2ddae47a72.sol,5,31,19,7,2,173,141,6
./input/DB2/sailfish_reported/0x994d983dd6a0dd89e9b62d2c1d7be2a95c3eed9e.sol,4,47,59,37,8,480,344,47
./input/DB2/sailfish_reported/0x730a21fd99e057f119197d06746f694d89aa5f86.sol,14,79,85,60,2,839,433,242
./input/DB2/sailfish_reported/0x61cdc7f49743faee09822ff9a2a1853189e1783e.sol,7,39,41,27,3,723,335,269
./input/DB2/sailfish_reported/0x0200412995f1bafef0d3f97c4e28ac2515ec1ece.sol,14,200,251,149,4,636,320,219
