File_name,Total_Contract,Total_Function,Total_Variable,Total_Internal_Call,Max_Cyclomatic_Complexity,Loc,sLoc,cLoc
./input/DB3/time_manipulation/timed_crowdsale.sol,1,1,1,0,1,15,6,7
./input/DB3/time_manipulation/lottopollo.sol,1,3,6,3,4,33,24,7
./input/DB3/time_manipulation/governmental_survey.sol,2,5,15,1,2,53,37,7
./input/DB3/time_manipulation/ether_lotto.sol,1,3,8,2,2,59,20,22
./input/DB3/time_manipulation/roulette.sol,1,2,5,2,2,25,13,8
./input/DB3/unchecked_low_level_calls/0x84d9ec85c9c568eb332b7226a8f826d897e0a4a8.sol,2,10,9,4,2,94,46,30
./input/DB3/unchecked_low_level_calls/0xf2570186500a46986f3139f65afedc2afe4f445d.sol,1,2,1,1,2,21,10,8
./input/DB3/unchecked_low_level_calls/0xa46edd6a9a93feec36576ee5048146870ea2c3ae.sol,1,1,0,2,2,20,11,6
./input/DB3/unchecked_low_level_calls/0x78c2a1e91b52bca4130b6ed9edd9fbcfd4671c37.sol,1,6,12,4,2,47,34,6
./input/DB3/unchecked_low_level_calls/0xdb1c55f6926e7d847ddf8678905ad871a68199d2.sol,1,5,11,4,2,41,29,6
./input/DB3/unchecked_low_level_calls/0x52d2e0f9b01101a59b38a3d05c80b7618aeed984.sol,2,6,5,1,2,30,23,6
./input/DB3/unchecked_low_level_calls/0x4051334adc52057aca763453820cb0e045076ef3.sol,1,1,0,2,2,20,11,6
./input/DB3/unchecked_low_level_calls/0x958a8f594101d2c0485a52319f29b2647f2ebc06.sol,2,15,18,12,2,148,93,31
./input/DB3/unchecked_low_level_calls/0xd2018bfaa266a9ec0a1a84b061640faa009def76.sol,1,5,11,4,2,46,33,6
./input/DB3/unchecked_low_level_calls/0xe894d54dca59cb53fe9cbc5155093605c7068220.sol,1,1,0,2,2,21,12,6
./input/DB3/unchecked_low_level_calls/unchecked_return_value.sol,1,2,0,1,1,19,9,6
./input/DB3/unchecked_low_level_calls/0xbaa3de6504690efb064420d89e871c27065cdd52.sol,2,9,10,4,2,42,29,6
./input/DB3/unchecked_low_level_calls/0xe82f0742a71a02b9e9ffc142fdcb6eb1ed06fb87.sol,1,5,11,4,2,41,29,6
./input/DB3/unchecked_low_level_calls/0x4b71ad9c1a84b9b643aa54fdd66e2dec96e8b152.sol,1,1,0,2,2,21,11,6
./input/DB3/unchecked_low_level_calls/0xf70d589d76eebdd7c12cc5eec99f8f6fa4233b9e.sol,1,5,11,4,2,46,33,6
./input/DB3/unchecked_low_level_calls/0x2972d548497286d18e92b5fa1f8f9139e5653fd2.sol,1,1,0,2,2,18,11,6
./input/DB3/unchecked_low_level_calls/0xb11b2fed6c9354f7aa2f658d3b4d7b31d8a13b77.sol,2,9,10,4,2,42,29,6
./input/DB3/unchecked_low_level_calls/0xa1fceeff3acc57d257b917e30c4df661401d6431.sol,1,2,1,3,2,35,23,6
./input/DB3/unchecked_low_level_calls/0xe4eabdca81e31d9acbc4af76b30f532b6ed7f3bf.sol,1,5,11,4,2,46,33,6
./input/DB3/unchecked_low_level_calls/0x39cfd754c85023648bf003bea2dd498c5612abfa.sol,3,16,17,11,3,104,82,8
./input/DB3/unchecked_low_level_calls/0x3f2ef511aa6e75231e4deafc7a3d2ecab3741de2.sol,1,6,12,4,2,47,34,6
./input/DB3/unchecked_low_level_calls/0x3a0e9acd953ffc0dd18d63603488846a6b8b2b01.sol,3,17,18,12,3,104,83,8
./input/DB3/unchecked_low_level_calls/0xb37f18af15bafb869a065b61fc83cfc44ed9cc27.sol,1,5,4,5,1,35,21,6
./input/DB3/unchecked_low_level_calls/0xf29ebe930a539a60279ace72c707cba851a57707.sol,1,3,4,1,1,22,11,6
./input/DB3/unchecked_low_level_calls/0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839.sol,3,16,16,11,3,100,81,7
./input/DB3/unchecked_low_level_calls/0x5aa88d2901c68fda244f1d0584400368d2c8e739.sol,1,5,9,4,2,41,29,6
./input/DB3/unchecked_low_level_calls/0x7a4349a749e59a5736efb7826ee3496a2dfd5489.sol,1,5,11,4,2,46,33,6
./input/DB3/unchecked_low_level_calls/0x8fd1e427396ddb511533cf9abdbebd0a7e08da35.sol,3,17,18,12,3,104,83,8
./input/DB3/unchecked_low_level_calls/0x9d06cbafa865037a01d322d3f4222fa3e04e5488.sol,1,6,9,7,2,90,44,27
./input/DB3/unchecked_low_level_calls/0xb7c5c5aa4d42967efe906e1b66cb8df9cebf04f7.sol,1,2,5,0,1,28,11,12
./input/DB3/unchecked_low_level_calls/0x4a66ad0bca2d700f11e1f2fc2c106f7d3264504c.sol,1,2,3,2,2,23,14,6
./input/DB3/unchecked_low_level_calls/0x806a6bd219f162442d992bdc4ee6eba1f2c5a707.sol,1,5,11,4,2,46,33,6
./input/DB3/unchecked_low_level_calls/lotto.sol,1,3,6,3,1,29,15,8
./input/DB3/unchecked_low_level_calls/0x610495793564aed0f9c7fc48dc4c7c9151d34fd6.sol,1,5,4,5,1,35,21,6
./input/DB3/unchecked_low_level_calls/0x70f9eddb3931491aab1aeafbc1e7f1ca2a012db4.sol,1,5,11,4,2,31,19,6
./input/DB3/unchecked_low_level_calls/0x3e013fc32a54c4c5b6991ba539dcd0ec4355c859.sol,1,5,9,4,2,41,29,6
./input/DB3/unchecked_low_level_calls/0xb620cee6b52f96f3c6b253e6eea556aa2d214a99.sol,1,18,25,20,2,144,96,16
./input/DB3/unchecked_low_level_calls/0xe09b1ab8111c2729a76f16de96bc86a7af837928.sol,2,24,51,38,6,377,267,54
./input/DB3/unchecked_low_level_calls/0xb0510d68f210b7db66e8c7c814f22680f2b8d1d6.sol,3,14,20,11,2,141,86,22
./input/DB3/unchecked_low_level_calls/0xbebbfe5b549f5db6e6c78ca97cac19d1fb03082c.sol,2,9,10,4,2,42,29,6
./input/DB3/front_running/ERC20.sol,2,11,9,8,1,129,72,31
./input/DB3/front_running/FindThisHash.sol,1,3,2,2,1,20,9,7
./input/DB3/front_running/odds_and_evens.sol,1,4,8,2,2,53,35,7
./input/DB3/front_running/eth_tx_order_dependence_minimal.sol,1,3,9,2,1,34,21,7
./input/DB3/access_control/wallet_03_wrong_constructor.sol,1,4,9,4,1,41,21,10
./input/DB3/access_control/arbitrary_location_write_simple.sol,1,6,6,4,1,40,26,6
./input/DB3/access_control/wallet_04_confused_sign.sol,1,4,9,4,1,42,21,11
./input/DB3/access_control/mapping_write.sol,1,3,5,2,2,30,18,7
./input/DB3/access_control/incorrect_constructor_name2.sol,1,3,3,2,1,32,20,6
./input/DB3/access_control/unprotected0.sol,1,2,1,0,1,39,18,15
./input/DB3/access_control/wallet_02_refund_nosub.sol,1,5,11,4,1,46,24,11
./input/DB3/access_control/mycontract.sol,1,2,3,1,1,24,11,7
./input/DB3/access_control/rubixi.sol,1,19,27,9,4,162,104,21
./input/DB3/access_control/proxy.sol,1,2,1,1,1,22,10,6
./input/DB3/access_control/simple_suicide.sol,1,1,1,1,1,16,6,7
./input/DB3/access_control/incorrect_constructor_name3.sol,1,3,3,2,1,32,20,6
./input/DB3/access_control/FibonacciBalance.sol,2,8,8,5,1,62,34,18
./input/DB3/access_control/phishable.sol,1,3,3,2,1,23,12,6
./input/DB3/access_control/incorrect_constructor_name1.sol,1,3,3,2,1,34,20,8
./input/DB3/access_control/multiowned_vulnerable.sol,2,8,14,8,1,63,30,23
./input/DB3/other/crypto_roulette.sol,1,6,14,7,2,61,37,13
./input/DB3/other/open_address_lottery.sol,1,8,29,13,4,105,61,25
./input/DB3/other/name_registrar.sol,1,2,2,1,1,32,18,7
./input/DB3/denial_of_service/dos_simple.sol,1,1,2,0,2,27,15,6
./input/DB3/denial_of_service/list_dos.sol,1,10,26,2,4,124,84,28
./input/DB3/denial_of_service/send_loop.sol,1,2,3,1,2,28,14,8
./input/DB3/denial_of_service/dos_number.sol,1,6,6,2,3,47,28,9
./input/DB3/denial_of_service/auction.sol,1,1,4,1,2,29,13,11
./input/DB3/denial_of_service/dos_address.sol,1,5,5,0,2,36,23,6
./input/DB3/bad_randomness/lottery.sol,1,5,10,1,2,68,36,19
./input/DB3/bad_randomness/lucky_doubler.sol,1,15,21,8,7,191,118,28
./input/DB3/bad_randomness/blackjack.sol,2,17,24,13,6,308,223,32
./input/DB3/bad_randomness/old_blockhash.sol,1,3,8,4,2,42,25,8
./input/DB3/bad_randomness/guess_the_random_number.sol,1,3,7,5,2,29,17,6
./input/DB3/bad_randomness/etheraffle.sol,1,10,42,4,5,174,122,25
./input/DB3/bad_randomness/random_number_generator.sol,1,2,3,1,1,26,11,12
./input/DB3/arithmetic/integer_overflow_minimal.sol,1,2,1,0,1,19,7,8
./input/DB3/arithmetic/integer_overflow_mul.sol,1,2,1,0,1,19,7,8
./input/DB3/arithmetic/tokensalechallenge.sol,1,5,9,4,1,35,20,8
./input/DB3/arithmetic/integer_overflow_1.sol,1,2,1,0,1,24,7,12
./input/DB3/arithmetic/overflow_simple_add.sol,1,2,1,0,1,16,7,6
./input/DB3/arithmetic/timelock.sol,1,3,10,1,1,32,19,7
./input/DB3/arithmetic/overflow_single_tx.sol,1,7,6,0,1,51,22,19
./input/DB3/arithmetic/token.sol,1,3,5,1,1,30,17,7
./input/DB3/arithmetic/integer_overflow_multitx_onefunc_feasible.sol,1,2,2,0,1,24,12,8
./input/DB3/arithmetic/BECToken.sol,9,72,42,47,2,306,142,117
./input/DB3/arithmetic/integer_overflow_add.sol,1,2,1,0,1,19,7,8
./input/DB3/arithmetic/integer_overflow_multitx_multifunc_feasible.sol,1,3,2,0,1,27,14,8
./input/DB3/arithmetic/insecure_transfer.sol,1,1,2,1,1,21,9,8
./input/DB3/arithmetic/integer_overflow_benign_1.sol,1,2,1,0,1,19,7,8
./input/DB3/reentrancy/0x23a91059fdc9579a9fbd0edc5f2ea0bfdb70deb4.sol,2,6,11,0,3,74,54,6
./input/DB3/reentrancy/etherbank.sol,1,3,6,0,1,24,15,6
./input/DB3/reentrancy/0x96edbe868531bd23a6c05e9d0c424ea64fb1b78b.sol,2,7,15,1,3,104,80,6
./input/DB3/reentrancy/reentrancy_insecure.sol,1,1,2,1,1,21,10,7
./input/DB3/reentrancy/0x4e73b32ed6c35f570686b89848e5f39f20ecc106.sol,2,7,13,3,3,96,72,6
./input/DB3/reentrancy/0x93c32845fae42c83a70e5f06214c8433665c2ab5.sol,2,6,13,1,3,85,65,6
./input/DB3/reentrancy/0x7a8721a9d64c74da899424c1b52acbf58ddc9782.sol,2,7,12,1,3,88,64,6
./input/DB3/reentrancy/0xbe4041d55db380c5ae9d4a9b9703f1ed4e7e3888.sol,2,7,15,1,3,104,80,6
./input/DB3/reentrancy/reentrancy_bonus.sol,1,2,3,3,1,31,18,7
