[INFO] | 2023-07-06 06:37:46 AM | analyzer.PancakeFactory_1 | Analysis started at: 2023-07-06 06:37:46 AM
[INFO] | 2023-07-06 06:37:49 AM | analyzer.PancakeFactory_1 | Version constraints: ['0.5.16']
[INFO] | 2023-07-06 06:37:49 AM | analyzer.PancakeFactory_1 | solc version: v0.5.16
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Callgraph generation started!
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Callgraph generation finished!
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Storage dependency graph generation started!
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Value Range Analysis started
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Range graph generated
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Range graph generated
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Range graph generated
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:37:50 AM | analyzer.PancakeFactory_1 | Return summary generated for slitherConstructorConstantVariables
