[INFO] | 2023-07-06 06:36:40 AM | analyzer.OneSwapBuyback_1 | Analysis started at: 2023-07-06 06:36:40 AM
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Version constraints: ['^0.6.6']
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | solc version: v0.6.6
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Callgraph generation started!
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Callgraph generation finished!
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Storage dependency graph generation started!
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Value Range Analysis started
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Range graph generated
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Generating return summary for name
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Return summary generated for name
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:36:41 AM | analyzer.OneSwapBuyback_1 | Processed function name
