[INFO] | 2023-07-06 06:21:21 AM | analyzer.HomeBridgeNativeToErc_1 | Analysis started at: 2023-07-06 06:21:21 AM
[INFO] | 2023-07-06 06:21:23 AM | analyzer.HomeBridgeNativeToErc_1 | Version constraints: ['0.4.24']
[INFO] | 2023-07-06 06:21:23 AM | analyzer.HomeBridgeNativeToErc_1 | solc version: v0.4.24
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Callgraph generation started!
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Callgraph generation finished!
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Storage dependency graph generation started!
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Value Range Analysis started
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Generating return summary for mul
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Return summary generated for mul
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Processed function mul
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Generating return summary for div
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Return summary generated for div
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Processed function div
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Generating return summary for sub
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Return summary generated for sub
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Processed function sub
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Generating return summary for add
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Return summary generated for add
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Processed function add
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Generating return summary for isValidator
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Return summary generated for isValidator
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Processed function isValidator
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Generating return summary for requiredSignatures
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Return summary generated for requiredSignatures
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Processed function requiredSignatures
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Generating return summary for owner
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Return summary generated for owner
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | State variable assignement do not exist
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Processed function owner
[INFO] | 2023-07-06 06:21:24 AM | analyzer.HomeBridgeNativeToErc_1 | Generating return summary for addressArrayContains
