[INFO] | 2023-07-06 07:39:16 AM | analyzer.VToken_1 | Analysis started at: 2023-07-06 07:39:16 AM
[INFO] | 2023-07-06 07:39:22 AM | analyzer.VToken_1 | Version constraints: ['^0.5.16']
[INFO] | 2023-07-06 07:39:22 AM | analyzer.VToken_1 | solc version: v0.5.16
[INFO] | 2023-07-06 07:39:52 AM | analyzer.VToken_1 | Callgraph generation started!
[INFO] | 2023-07-06 07:39:52 AM | analyzer.VToken_1 | Callgraph generation finished!
[INFO] | 2023-07-06 07:39:52 AM | analyzer.VToken_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Storage dependency graph generation started!
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Value Range Analysis started
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Range graph generated
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Range graph generated
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Range graph generated
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Range graph generated
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Range graph generated
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Generating return summary for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Return summary generated for slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Range graph generated
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Processed function slitherConstructorConstantVariables
[INFO] | 2023-07-06 07:39:53 AM | analyzer.VToken_1 | Generating return summary for slitherConstructorConstantVariables
