[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Analysis started at: 2023-07-07 09:00:18 AM
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Version constraints: ['^0.4.19']
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | solc version: v0.4.19
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Callgraph generation started!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Callgraph generation finished!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Interprocedural CFG generation started!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Storage dependency graph generation started!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Storage dependency graph generation finished!
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Value Range Analysis started
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Generating return summary for SetMinSum
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Return summary generated for SetMinSum
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Range graph generated
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Processed function SetMinSum
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Generating return summary for SetLogFile
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Return summary generated for SetLogFile
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Range graph generated
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Processed function SetLogFile
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Generating return summary for Initialized
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Return summary generated for Initialized
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Range graph generated
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Processed function Initialized
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Generating return summary for AddMessage
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Return summary generated for AddMessage
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Range graph generated
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Processed function AddMessage
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Generating return summary for Put
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Return summary generated for Put
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Range graph generated
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Processed function Put
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Generating return summary for Collect
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Return summary generated for Collect
[INFO] | 2023-07-07 09:00:18 AM | analyzer.0xdd17afae8a3dd1936d1113998900447ab9aa9bc0 | Range graph generated
