[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Analysis started at: 2023-07-07 08:59:56 AM
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Version constraints: ['^0.4.19']
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | solc version: v0.4.19
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Callgraph generation started!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Callgraph generation finished!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Interprocedural CFG generation started!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Storage dependency graph generation started!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Storage dependency graph generation finished!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Value Range Analysis started
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Generating return summary for Private_accumulation_fund
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Return summary generated for Private_accumulation_fund
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Range graph generated
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Processed function Private_accumulation_fund
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Generating return summary for fallback
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Return summary generated for fallback
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Processed function fallback
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Range graph generated
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Generating return summary for AddMessage
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Return summary generated for AddMessage
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Range graph generated
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Processed function AddMessage
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Generating return summary for Deposit
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Return summary generated for Deposit
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Range graph generated
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Processed function Deposit
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Generating return summary for CashOut
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Return summary generated for CashOut
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Range graph generated
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Processed function CashOut
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Value Range Analysis took 0.002254 seconds
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Value Range Analysis finished
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Storage dependency graph compostion started!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Dependency detection started!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | DAO dependency detected in file 0xa5d6accc5695327f65cbf38da29198df53efdcf0.sol in contract Private_accumulation_fund in by composing functions CashOut and CashOut
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Dependency detection finished!
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Static Analysis took 0.392058 seconds
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Dependency exists
[INFO] | 2023-07-07 08:59:56 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Invoking symbolic executor!
[INFO] | 2023-07-07 08:59:57 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Symbolic execution took 0.733470 seconds
[INFO] | 2023-07-07 08:59:57 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Symbolic execution finished!
[INFO] | 2023-07-07 08:59:57 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Analysis finished!
[INFO] | 2023-07-07 08:59:57 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Analysis took 1.125943 seconds
[INFO] | 2023-07-07 08:59:57 AM | analyzer.0xa5d6accc5695327f65cbf38da29198df53efdcf0 | Analysis finished at: 2023-07-07 08:59:57 AM
