[INFO] | 2023-07-06 07:24:18 AM | analyzer.Transfers_1 | Analysis started at: 2023-07-06 07:24:18 AM
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Version constraints: ['>=0.5.0']
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | solc version: v0.5.0
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Callgraph generation started!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Callgraph generation finished!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Interprocedural CFG generation started!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Interprocedural CFG generation finished!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Storage dependency graph generation started!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Storage dependency graph generation finished!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Value Range Analysis started
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Generating return summary for totalSupply
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Return summary generated for totalSupply
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Processed function totalSupply
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Generating return summary for balanceOf
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Return summary generated for balanceOf
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Processed function balanceOf
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Generating return summary for transfer
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Return summary generated for transfer
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Processed function transfer
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Generating return summary for allowance
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Return summary generated for allowance
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Processed function allowance
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Generating return summary for approve
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Return summary generated for approve
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Processed function approve
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Generating return summary for transferFrom
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Return summary generated for transferFrom
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Processed function transferFrom
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Generating return summary for decimals
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Return summary generated for decimals
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Processed function decimals
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Generating return summary for safeTransfer
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Return summary generated for safeTransfer
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | State variable assignement do not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Processed function safeTransfer
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Value Range Analysis took 0.001188 seconds
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Value Range Analysis finished
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Storage dependency graph compostion started!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Storage dependency graph compostion finished!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Dependency detection started!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Dependency detection finished!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Static Analysis took 0.320874 seconds
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Dependency does not exist
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Symbolic execution is not needed!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Analysis finished!
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Analysis took 0.321015 seconds
[INFO] | 2023-07-06 07:24:19 AM | analyzer.Transfers_1 | Analysis finished at: 2023-07-06 07:24:19 AM
