[INFO] | 2023-07-07 09:00:21 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Analysis started at: 2023-07-07 09:00:21 AM
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Version constraints: ['^0.4.19']
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | solc version: v0.4.19
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Callgraph generation started!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Callgraph generation finished!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Interprocedural CFG generation started!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Storage dependency graph generation started!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Storage dependency graph generation finished!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Value Range Analysis started
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Generating return summary for PIGGY_BANK
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Return summary generated for PIGGY_BANK
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Range graph generated
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Processed function PIGGY_BANK
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Range graph generated
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Generating return summary for AddMessage
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Return summary generated for AddMessage
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Range graph generated
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Processed function AddMessage
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Generating return summary for Put
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Return summary generated for Put
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Range graph generated
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Processed function Put
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Generating return summary for Collect
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Return summary generated for Collect
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Range graph generated
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Processed function Collect
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Generating return summary for fallback
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Return summary generated for fallback
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Range graph generated
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Processed function fallback
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Value Range Analysis took 0.003038 seconds
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Value Range Analysis finished
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Storage dependency graph compostion started!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Storage dependency graph compostion finished!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Dependency detection started!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | DAO dependency detected in file 0xe610af01f92f19679327715b426c35849c47c657.sol in contract PIGGY_BANK in by composing functions Collect and Collect
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Dependency detection finished!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Static Analysis took 0.458109 seconds
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Dependency exists
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Invoking symbolic executor!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Symbolic execution took 0.831765 seconds
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Symbolic execution finished!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Analysis finished!
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Analysis took 1.290258 seconds
[INFO] | 2023-07-07 09:00:22 AM | analyzer.0xe610af01f92f19679327715b426c35849c47c657 | Analysis finished at: 2023-07-07 09:00:22 AM
