[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Analysis started at: 2023-07-07 08:59:06 AM
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Version constraints: ['^0.5.0']
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | solc version: v0.5.0
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Callgraph generation started!
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Callgraph generation finished!
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Interprocedural CFG generation started!
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Storage dependency graph generation started!
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Storage dependency graph generation finished!
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Value Range Analysis started
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Generating return summary for put
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Return summary generated for put
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Range graph generated
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Processed function put
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Generating return summary for get
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Return summary generated for get
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Range graph generated
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Processed function get
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Generating return summary for withdraw
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Return summary generated for withdraw
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Range graph generated
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Processed function withdraw
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Generating return summary for fallback
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Return summary generated for fallback
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | State variable assignement do not exist
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Processed function fallback
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Generating return summary for constructor
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Return summary generated for constructor
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Range graph generated
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Processed function constructor
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Value Range Analysis took 0.001172 seconds
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Value Range Analysis finished
[INFO] | 2023-07-07 08:59:06 AM | analyzer.0x0eb68f34efa0086e4136bca51fc4d0696580643e | Storage dependency graph compostion started!
