[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Analysis started at: 2023-07-07 09:00:16 AM
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Version constraints: ['^0.4.19']
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | solc version: v0.4.19
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Callgraph generation started!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Callgraph generation finished!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Interprocedural CFG generation started!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Interprocedural CFG generation finished!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Storage dependency graph generation started!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Storage dependency graph generation finished!
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Value Range Analysis started
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Generating return summary for Private_Bank
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Return summary generated for Private_Bank
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Range graph generated
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Processed function Private_Bank
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Generating return summary for fallback
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Return summary generated for fallback
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | State variable assignement do not exist
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Processed function fallback
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Generating return summary for slitherConstructorVariables
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Return summary generated for slitherConstructorVariables
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Range graph generated
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Processed function slitherConstructorVariables
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Generating return summary for AddMessage
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Return summary generated for AddMessage
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Range graph generated
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Processed function AddMessage
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Generating return summary for Deposit
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Return summary generated for Deposit
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Range graph generated
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Processed function Deposit
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Generating return summary for CashOut
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Return summary generated for CashOut
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Range graph generated
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Processed function CashOut
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Value Range Analysis took 0.002357 seconds
[INFO] | 2023-07-07 09:00:16 AM | analyzer.0xd116d1349c1382b0b302086a4e4219ae4f8634ff | Value Range Analysis finished
